class,board,subjects,mode,location,salary
6,CBSE,"Maths, Science",Offline,Magarpatta,5500
10,State,"Science, Social Studies",Offline,Magarpatta,4500
9,ICSE,"Maths, Science",Offline,Mumbai,5000
7,CBSE,"Maths, Science",Offline,Hadapsar,5500
6,CBSE,"Maths, Science",Offline,Hadapsar,4000
11,ICSE,"Physics, Chemistry, Biology",Offline,Kothrud,4500
6,ICSE,All Subjects,Offline,Kothrud,4000
10,State,"Science, Social Studies",Offline,Magarpatta,5000
7,CBSE,"Maths, Science",Offline,Magarpatta,5500
7,State,"Science, Social Studies",Offline,Magarpatta,3500
11,ICSE,"Physics, Chemistry, Maths",Offline,Dubai,5500
4,State,"Maths, Science",Offline,Mumbai,5000
6,CBSE,"Maths, Science",Offline,Mumbai,5500
3,ICSE,"Maths, Science",Offline,Dubai,6000
12,ICSE,"Economics, Accountancy",Online,Online,5500
11,CBSE,"Economics, Accountancy",Offline,Hadapsar,3000
2,ICSE,"Maths, Science",Offline,Magarpatta,5500
8,State,"Maths, Science",Offline,Hadapsar,5500
6,ICSE,"Maths, Science",Offline,Hadapsar,4000
2,State,"Maths, Hindi",Offline,Magarpatta,3500
11,CBSE,"Physics, Chemistry, Maths",Offline,Magarpatta,4000
1,ICSE,"Science, English",Offline,Hadapsar,4000
8,State,"Maths, Science",Offline,Dubai,4500
12,State,"Economics, Accountancy, Business Studies",Offline,Magarpatta,3000
8,ICSE,"Maths, Science",Online,Online,4000
9,ICSE,"Maths, Science",Offline,Kothrud,6000
7,CBSE,"Maths, Computer",Online,Online,5000
9,CBSE,"Maths, Science",Online,Online,6000
9,CBSE,"Maths, Science",Offline,Kothrud,5000
9,State,"Maths, Science",Offline,Kothrud,5500
10,CBSE,"Maths, Science",Offline,Dubai,4500
8,State,All Subjects,Offline,Magarpatta,3000
10,International,"Maths, Science",Offline,Magarpatta,6000
3,CBSE,"Maths, Science",Online,Online,3000
5,CBSE,"Maths, Science",Offline,Kothrud,6000
10,CBSE,"Maths, Science",Offline,Magarpatta,5500
6,International,"Maths, Social Studies",Offline,Kothrud,5000
11,State,"Economics, Accountancy",Offline,Hadapsar,3500
7,CBSE,"Maths, Computer",Online,Online,4500
